word,phonemes,g2p_alignment
mengeksplorasi,m ə ŋ e ʔ s p l o r a s i,m}m e}ə n|g}ŋ e}e k}ʔ s}s p}p l}l o}o r}r a}a s}s i}i
mengekspor,m ə ŋ e ʔ s p o r,m}m e}ə n|g}ŋ e}e k}ʔ s}s p}p o}o r}r
mengekspos,m ə ŋ e ʔ s p o s,m}m e}ə n|g}ŋ e}e k}ʔ s}s p}p o}o s}s
mengekspresikan,m ə ŋ e ʔ s p r e s i k a n,m}m e}ə n|g}ŋ e}e k}ʔ s}s p}p r}r e}e s}s i}i k}k a}a n}n
mengekstradisi,m ə ŋ e ʔ s t r a d i s i,m}m e}ə n|g}ŋ e}e k}ʔ s}s t}t r}r a}a d}d i}i s}s i}i
mengekstrak,m ə ŋ e ʔ s t r a ʔ,m}m e}ə n|g}ŋ e}e k}ʔ s}s t}t r}r a}a k}ʔ
mengekstraksi,m ə ŋ e ʔ s t r a ʔ s i,m}m e}ə n|g}ŋ e}e k}ʔ s}s t}t r}r a}a k}ʔ s}s i}i
mengelabang,m ə ŋ ə l a b a ŋ,m}m e}ə n|g}ŋ e}ə l}l a}a b}b a}a n|g}ŋ
mengelaborasi,m ə ŋ e l a b o r a s i,m}m e}ə n|g}ŋ e}e l}l a}a b}b o}o r}r a}a s}s i}i
mengelabui,m ə ŋ ə l a b u i,m}m e}ə n|g}ŋ e}ə l}l a}a b}b u}u i}i
mengeladau,m ə ŋ ə l a d a u,m}m e}ə n|g}ŋ e}ə l}l a}a d}d a}a u}u
mengelah,m ə ŋ ə l a h,m}m e}ə n|g}ŋ e}ə l}l a}a h}h
mengelai,m ə ŋ ə l a i,m}m e}ə n|g}ŋ e}ə l}l a}a i}i
mengelak,m ə ŋ e l a ʔ,m}m e}ə n|g}ŋ e}e l}l a}a k}ʔ
mengelakkan,m ə ŋ e l a ʔ k a n,m}m e}ə n|g}ŋ e}e l}l a}a k}ʔ k}k a}a n}n
mengelam,m ə ŋ ə l a m,m}m e}ə n|g}ŋ e}ə l}l a}a m}m
mengelamini,m ə ŋ ə l a m i n i,m}m e}ə n|g}ŋ e}ə l}l a}a m}m i}i n}n i}i
mengelamkan,m ə ŋ ə l a m k a n,m}m e}ə n|g}ŋ e}ə l}l a}a m}m k}k a}a n}n
mengelana,m ə ŋ ə l a n a,m}m e}ə n|g}ŋ e}ə l}l a}a n}n a}a
mengelantang,m ə ŋ ə l a n t a ŋ,m}m e}ə n|g}ŋ e}ə l}l a}a n}n t}t a}a n|g}ŋ
mengelar,m ə ŋ ə l a r,m}m e}ə n|g}ŋ e}ə l}l a}a r}r
mengelarai,m ə ŋ ə l a r a i,m}m e}ə n|g}ŋ e}ə l}l a}a r}r a}a i}i
mengelas,m ə ŋ ə l a s,m}m e}ə n|g}ŋ e}ə l}l a}a s}s
mengelaskan,m ə ŋ ə l a s k a n,m}m e}ə n|g}ŋ e}ə l}l a}a s}s k}k a}a n}n
mengelebekkan,m ə ŋ ə l e b e ʔ k a n,m}m e}ə n|g}ŋ e}ə l}l e}e b}b e}e k}ʔ k}k a}a n}n
mengelebukan,m ə ŋ ə l ə b u k a n,m}m e}ə n|g}ŋ e}ə l}l e}ə b}b u}u k}k a}a n}n
mengelektrifikasi,m ə ŋ e l ə ʔ t r i f i k a s i,m}m e}ə n|g}ŋ e}e l}l e}ə k}ʔ t}t r}r i}i f}f i}i k}k a}a s}s i}i
mengelelotkan,m ə ŋ ə l e l o t k a n,m}m e}ə n|g}ŋ e}ə l}l e}e l}l o}o t}t k}k a}a n}n
mengelenggarakan,m ə ŋ ə l ə ŋ ɡ a r a k a n,m}m e}ə n|g}ŋ e}ə l}l e}ə n|g}ŋ g}ɡ a}a r}r a}a k}k a}a n}n
mengelepat,m ə ŋ ə l ə p a t,m}m e}ə n|g}ŋ e}ə l}l e}ə p}p a}a t}t
mengelepik,m ə ŋ ə l ə p i ʔ,m}m e}ə n|g}ŋ e}ə l}l e}ə p}p i}i k}ʔ
mengelepur,m ə ŋ ə l ə p u r,m}m e}ə n|g}ŋ e}ə l}l e}ə p}p u}u r}r
mengelibat,m ə ŋ ə l i b a t,m}m e}ə n|g}ŋ e}ə l}l i}i b}b a}a t}t
mengelih,m ə ŋ ə l i h,m}m e}ə n|g}ŋ e}ə l}l i}i h}h
mengelik,m ə ŋ ə l i ʔ,m}m e}ə n|g}ŋ e}ə l}l i}i k}ʔ
mengelikik,m ə ŋ ə l i k i ʔ,m}m e}ə n|g}ŋ e}ə l}l i}i k}k i}i k}ʔ
mengelikkan,m ə ŋ ə l i ʔ k a n,m}m e}ə n|g}ŋ e}ə l}l i}i k}ʔ k}k a}a n}n
mengelilingi,m ə ŋ ə l i l i ŋ i,m}m e}ə n|g}ŋ e}ə l}l i}i l}l i}i n|g}ŋ i}i
mengelilingkan,m ə ŋ ə l i l i ŋ k a n,m}m e}ə n|g}ŋ e}ə l}l i}i l}l i}i n|g}ŋ k}k a}a n}n
mengelim,m ə ŋ ə l i m,m}m e}ə n|g}ŋ e}ə l}l i}i m}m
mengeliminasi,m ə ŋ e l i m i n a s i,m}m e}ə n|g}ŋ e}e l}l i}i m}m i}i n}n a}a s}s i}i
mengeling,m ə ŋ ə l i ŋ,m}m e}ə n|g}ŋ e}ə l}l i}i n|g}ŋ
mengelirukan,m ə ŋ ə l i r u k a n,m}m e}ə n|g}ŋ e}ə l}l i}i r}r u}u k}k a}a n}n
mengelis,m ə ŋ ə l i s,m}m e}ə n|g}ŋ e}ə l}l i}i s}s
mengelit,m ə ŋ ə l i t,m}m e}ə n|g}ŋ e}ə l}l i}i t}t
mengelitkan,m ə ŋ ə l i t k a n,m}m e}ə n|g}ŋ e}ə l}l i}i t}t k}k a}a n}n
mengelocak,m ə ŋ ə l o tʃ a ʔ,m}m e}ə n|g}ŋ e}ə l}l o}o c}tʃ a}a k}ʔ
mengelok,m ə ŋ e l o ʔ,m}m e}ə n|g}ŋ e}e l}l o}o k}ʔ
mengelokkan,m ə ŋ e l o ʔ k a n,m}m e}ə n|g}ŋ e}e l}l o}o k}ʔ k}k a}a n}n
mengelola,m ə ŋ ə l o l a,m}m e}ə n|g}ŋ e}ə l}l o}o l}l a}a
mengelompokkan,m ə ŋ ə l o m p o ʔ k a n,m}m e}ə n|g}ŋ e}ə l}l o}o m}m p}p o}o k}ʔ k}k a}a n}n
mengelon,m ə ŋ ə l o n,m}m e}ə n|g}ŋ e}ə l}l o}o n}n
mengeloni,m ə ŋ e l o n i,m}m e}ə n|g}ŋ e}e l}l o}o n}n i}i
mengelopak,m ə ŋ ə l o p a ʔ,m}m e}ə n|g}ŋ e}ə l}l o}o p}p a}a k}ʔ
mengelu,m ə ŋ ə l u,m}m e}ə n|g}ŋ e}ə l}l u}u
mengeluani,m ə ŋ ə l u a n i,m}m e}ə n|g}ŋ e}ə l}l u}u a}a n}n i}i
mengeluarkan,m ə ŋ ə l u a r k a n,m}m e}ə n|g}ŋ e}ə l}l u}u a}a r}r k}k a}a n}n
mengeluh,m ə ŋ ə l u h,m}m e}ə n|g}ŋ e}ə l}l u}u h}h
mengeluhkan,m ə ŋ ə l u h k a n,m}m e}ə n|g}ŋ e}ə l}l u}u h}h k}k a}a n}n
mengelukan,m ə ŋ ə l u k a n,m}m e}ə n|g}ŋ e}ə l}l u}u k}k a}a n}n
mengelumuni,m ə ŋ ə l u m u n i,m}m e}ə n|g}ŋ e}ə l}l u}u m}m u}u n}n i}i
mengelupas,m ə ŋ ə l u p a s,m}m e}ə n|g}ŋ e}ə l}l u}u p}p a}a s}s
mengelupaskan,m ə ŋ ə l u p a s k a n,m}m e}ə n|g}ŋ e}ə l}l u}u p}p a}a s}s k}k a}a n}n
mengelupur,m ə ŋ ə l u p u r,m}m e}ə n|g}ŋ e}ə l}l u}u p}p u}u r}r
mengelus,m ə ŋ ə l u s,m}m e}ə n|g}ŋ e}ə l}l u}u s}s
mengemas,m ə ŋ ə m a s,m}m e}ə n|g}ŋ e}ə m}m a}a s}s
mengemasi,m ə ŋ ə m a s i,m}m e}ə n|g}ŋ e}ə m}m a}a s}s i}i
mengemaskan,m ə ŋ ə m a s k a n,m}m e}ə n|g}ŋ e}ə m}m a}a s}s k}k a}a n}n
mengemat,m ə ŋ ə m a t,m}m e}ə n|g}ŋ e}ə m}m a}a t}t
mengembalikan,m ə ŋ ə m b a l i k a n,m}m e}ə n|g}ŋ e}ə m}m b}b a}a l}l i}i k}k a}a n}n
mengemban,m ə ŋ ə m b a n,m}m e}ə n|g}ŋ e}ə m}m b}b a}a n}n
mengembang,m ə ŋ ə m b a ŋ,m}m e}ə n|g}ŋ e}ə m}m b}b a}a n|g}ŋ
mengembang-biakkan,m ə ŋ ə m b a ŋ - b i a ʔ k a n,m}m e}ə n|g}ŋ e}ə m}m b}b a}a n|g}ŋ -}- b}b i}i a}a k}ʔ k}k a}a n}n
mengembangkan,m ə ŋ ə m b a ŋ k a n,m}m e}ə n|g}ŋ e}ə m}m b}b a}a n|g}ŋ k}k a}a n}n
mengembara,m ə ŋ ə m b a r a,m}m e}ə n|g}ŋ e}ə m}m b}b a}a r}r a}a
mengembarai,m ə ŋ ə m b a r a i,m}m e}ə n|g}ŋ e}ə m}m b}b a}a r}r a}a i}i
mengembargo,m ə ŋ e m b a r ɡ o,m}m e}ə n|g}ŋ e}e m}m b}b a}a r}r g}ɡ o}o
mengembari,m ə ŋ ə m b a r i,m}m e}ə n|g}ŋ e}ə m}m b}b a}a r}r i}i
mengembarkan,m ə ŋ e m b a r k a n,m}m e}ə n|g}ŋ e}e m}m b}b a}a r}r k}k a}a n}n
mengembat,m ə ŋ ə m b a t,m}m e}ə n|g}ŋ e}ə m}m b}b a}a t}t
mengembatkan,m ə ŋ ə m b a t k a n,m}m e}ə n|g}ŋ e}ə m}m b}b a}a t}t k}k a}a n}n
mengembeli,m ə ŋ e m b e l i,m}m e}ə n|g}ŋ e}e m}m b}b e}e l}l i}i
mengembungkan,m ə ŋ ə m b u ŋ k a n,m}m e}ə n|g}ŋ e}ə m}m b}b u}u n|g}ŋ k}k a}a n}n
mengembusi,m ə ŋ ə m b u s i,m}m e}ə n|g}ŋ e}ə m}m b}b u}u s}s i}i
mengemendang,m ə ŋ ə m ə n d a ŋ,m}m e}ə n|g}ŋ e}ə m}m e}ə n}n d}d a}a n|g}ŋ
mengemis,m ə ŋ ə m i s,m}m e}ə n|g}ŋ e}ə m}m i}i s}s
mengemong,m ə ŋ ə m o ŋ,m}m e}ə n|g}ŋ e}ə m}m o}o n|g}ŋ
mengempa,m ə ŋ ə m p a,m}m e}ə n|g}ŋ e}ə m}m p}p a}a
mengempis,m ə ŋ ə m p i s,m}m e}ə n|g}ŋ e}ə m}m p}p i}i s}s
mengempiskan,m ə ŋ ə m p i s k a n,m}m e}ə n|g}ŋ e}ə m}m p}p i}i s}s k}k a}a n}n
mengempit,m ə ŋ ə m p i t,m}m e}ə n|g}ŋ e}ə m}m p}p i}i t}t
mengemplang,m ə ŋ ə m p l a ŋ,m}m e}ə n|g}ŋ e}ə m}m p}p l}l a}a n|g}ŋ
mengemu,m ə ŋ ə m u,m}m e}ə n|g}ŋ e}ə m}m u}u
mengemudi,m ə ŋ ə m u d i,m}m e}ə n|g}ŋ e}ə m}m u}u d}d i}i
mengemudiankan,m ə ŋ ə m u d i a n k a n,m}m e}ə n|g}ŋ e}ə m}m u}u d}d i}i a}a n}n k}k a}a n}n
mengemudikan,m ə ŋ ə m u d i k a n,m}m e}ə n|g}ŋ e}ə m}m u}u d}d i}i k}k a}a n}n
mengemukakan,m ə ŋ ə m u k a k a n,m}m e}ə n|g}ŋ e}ə m}m u}u k}k a}a k}k a}a n}n
mengemuli,m ə ŋ ə m u l i,m}m e}ə n|g}ŋ e}ə m}m u}u l}l i}i
mengemut,m ə ŋ ə m u t,m}m e}ə n|g}ŋ e}ə m}m u}u t}t
mengena,m ə ŋ ə n a,m}m e}ə n|g}ŋ e}ə n}n a}a
mengenai,m ə ŋ ə n a i,m}m e}ə n|g}ŋ e}ə n}n a}a i}i
mengenakan,m ə ŋ ə n a k a n,m}m e}ə n|g}ŋ e}ə n}n a}a k}k a}a n}n
mengenal,m ə ŋ ə n a l,m}m e}ə n|g}ŋ e}ə n}n a}a l}l
mengenali,m ə ŋ ə n a l i,m}m e}ə n|g}ŋ e}ə n}n a}a l}l i}i
mengenang,m ə ŋ ə n a ŋ,m}m e}ə n|g}ŋ e}ə n}n a}a n|g}ŋ
mengenangkan,m ə ŋ ə n a ŋ k a n,m}m e}ə n|g}ŋ e}ə n}n a}a n|g}ŋ k}k a}a n}n
mengencangkan,m ə ŋ ə n tʃ a ŋ k a n,m}m e}ə n|g}ŋ e}ə n}n c}tʃ a}a n|g}ŋ k}k a}a n}n
mengencani,m ə ŋ ə n tʃ a n i,m}m e}ə n|g}ŋ e}ə n}n c}tʃ a}a n}n i}i
mengencongkan,m ə ŋ e n tʃ o ŋ k a n,m}m e}ə n|g}ŋ e}e n}n c}tʃ o}o n|g}ŋ k}k a}a n}n
mengendalakan,m ə ŋ ə n d a l a k a n,m}m e}ə n|g}ŋ e}ə n}n d}d a}a l}l a}a k}k a}a n}n
mengendalikan,m ə ŋ ə n d a l i k a n,m}m e}ə n|g}ŋ e}ə n}n d}d a}a l}l i}i k}k a}a n}n
mengendap,m ə ŋ ə n d a p,m}m e}ə n|g}ŋ e}ə n}n d}d a}a p}p
mengendapkan,m ə ŋ ə n d a p k a n,m}m e}ə n|g}ŋ e}ə n}n d}d a}a p}p k}k a}a n}n
mengendarai,m ə ŋ ə n d a r a i,m}m e}ə n|g}ŋ e}ə n}n d}d a}a r}r a}a i}i
mengendur,m ə ŋ ə n d u r,m}m e}ə n|g}ŋ e}ə n}n d}d u}u r}r
mengendurikan,m ə ŋ ə n d u r i k a n,m}m e}ə n|g}ŋ e}ə n}n d}d u}u r}r i}i k}k a}a n}n
mengengkeng,m ə ŋ e ŋ k e ŋ,m}m e}ə n|g}ŋ e}e n|g}ŋ k}k e}e n|g}ŋ
mengental,m ə ŋ ə n t a l,m}m e}ə n|g}ŋ e}ə n}n t}t a}a l}l
mengentalkan,m ə ŋ ə n t a l k a n,m}m e}ə n|g}ŋ e}ə n}n t}t a}a l}l k}k a}a n}n
mengentarakan,m ə ŋ ə n t a r a k a n,m}m e}ə n|g}ŋ e}ə n}n t}t a}a r}r a}a k}k a}a n}n
mengentas,m ə ŋ ə n t a s,m}m e}ə n|g}ŋ e}ə n}n t}t a}a s}s
mengentengkan,m ə ŋ e n t e ŋ k a n,m}m e}ə n|g}ŋ e}e n}n t}t e}e n|g}ŋ k}k a}a n}n
mengentot,m ə ŋ e n t o t,m}m e}ə n|g}ŋ e}e n}n t}t o}o t}t
mengentuti,m ə ŋ ə n t u t i,m}m e}ə n|g}ŋ e}ə n}n t}t u}u t}t i}i
mengenyak,m ə ŋ ə ɲ a ʔ,m}m e}ə n|g}ŋ e}ə n|y}ɲ a}a k}ʔ
mengenyal,m ə ŋ ə ɲ a l,m}m e}ə n|g}ŋ e}ə n|y}ɲ a}a l}l
mengenyam,m ə ŋ ə ɲ a m,m}m e}ə n|g}ŋ e}ə n|y}ɲ a}a m}m
mengenyangkan,m ə ŋ ə ɲ a ŋ k a n,m}m e}ə n|g}ŋ e}ə n|y}ɲ a}a n|g}ŋ k}k a}a n}n
mengenyit,m ə ŋ ə ɲ i t,m}m e}ə n|g}ŋ e}ə n|y}ɲ i}i t}t
mengepak,m ə ŋ e p a ʔ,m}m e}ə n|g}ŋ e}e p}p a}a k}ʔ
mengepal,m ə ŋ ə p a l,m}m e}ə n|g}ŋ e}ə p}p a}a l}l
mengepalai,m ə ŋ ə p a l a i,m}m e}ə n|g}ŋ e}ə p}p a}a l}l a}a i}i
mengepalakan,m ə ŋ ə p a l a k a n,m}m e}ə n|g}ŋ e}ə p}p a}a l}l a}a k}k a}a n}n
mengepang,m ə ŋ e p a ŋ,m}m e}ə n|g}ŋ e}e p}p a}a n|g}ŋ
mengepel,m ə ŋ ə p e l,m}m e}ə n|g}ŋ e}ə p}p e}e l}l
mengepil,m ə ŋ ə p i l,m}m e}ə n|g}ŋ e}ə p}p i}i l}l
mengepilkan,m ə ŋ ə p i l k a n,m}m e}ə n|g}ŋ e}ə p}p i}i l}l k}k a}a n}n
mengeping,m ə ŋ ə p i ŋ,m}m e}ə n|g}ŋ e}ə p}p i}i n|g}ŋ
mengepit,m ə ŋ ə p i t,m}m e}ə n|g}ŋ e}ə p}p i}i t}t
mengeplak,m ə ŋ ə p l a ʔ,m}m e}ə n|g}ŋ e}ə p}p l}l a}a k}ʔ
mengepruk,m ə ŋ ə p r u ʔ,m}m e}ə n|g}ŋ e}ə p}p r}r u}u k}ʔ
mengepuh,m ə ŋ ə p u h,m}m e}ə n|g}ŋ e}ə p}p u}u h}h
mengepul,m ə ŋ ə p u l,m}m e}ə n|g}ŋ e}ə p}p u}u l}l
mengepulkan,m ə ŋ ə p u l k a n,m}m e}ə n|g}ŋ e}ə p}p u}u l}l k}k a}a n}n
mengepung,m ə ŋ ə p u ŋ,m}m e}ə n|g}ŋ e}ə p}p u}u n|g}ŋ
mengerabikkan,m ə ŋ ə r a b i ʔ k a n,m}m e}ə n|g}ŋ e}ə r}r a}a b}b i}i k}ʔ k}k a}a n}n
mengerabu,m ə ŋ ə r a b u,m}m e}ə n|g}ŋ e}ə r}r a}a b}b u}u
mengerahkan,m ə ŋ ə r a h k a n,m}m e}ə n|g}ŋ e}ə r}r a}a h}h k}k a}a n}n
mengerakali,m ə ŋ ə r a k a l i,m}m e}ə n|g}ŋ e}ə r}r a}a k}k a}a l}l i}i
mengeram,m ə ŋ ə r a m,m}m e}ə n|g}ŋ e}ə r}r a}a m}m
mengeramasi,m ə ŋ ə r a m a s i,m}m e}ə n|g}ŋ e}ə r}r a}a m}m a}a s}s i}i
mengeramkan,m ə ŋ ə r a m k a n,m}m e}ə n|g}ŋ e}ə r}r a}a m}m k}k a}a n}n
mengerang,m ə ŋ e r a ŋ,m}m e}ə n|g}ŋ e}e r}r a}a n|g}ŋ
mengerapkan,m ə ŋ ə r a p k a n,m}m e}ə n|g}ŋ e}ə r}r a}a p}p k}k a}a n}n
mengeras,m ə ŋ ə r a s,m}m e}ə n|g}ŋ e}ə r}r a}a s}s
mengerasi,m ə ŋ ə r a s i,m}m e}ə n|g}ŋ e}ə r}r a}a s}s i}i
mengeraskan,m ə ŋ ə r a s k a n,m}m e}ə n|g}ŋ e}ə r}r a}a s}s k}k a}a n}n
mengerat,m ə ŋ ə r a t,m}m e}ə n|g}ŋ e}ə r}r a}a t}t
mengeratkan,m ə ŋ ə r a t k a n,m}m e}ə n|g}ŋ e}ə r}r a}a t}t k}k a}a n}n
mengerawan,m ə ŋ ə r a w a n,m}m e}ə n|g}ŋ e}ə r}r a}a w}w a}a n}n
mengerawang,m ə ŋ ə r a w a ŋ,m}m e}ə n|g}ŋ e}ə r}r a}a w}w a}a n|g}ŋ
mengerbat,m ə ŋ ə r b a t,m}m e}ə n|g}ŋ e}ə r}r b}b a}a t}t
mengerbuk,m ə ŋ ə r b u ʔ,m}m e}ə n|g}ŋ e}ə r}r b}b u}u k}ʔ
mengercingkan,m ə ŋ ə r tʃ i ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r c}tʃ i}i n|g}ŋ k}k a}a n}n
mengercitkan,m ə ŋ ə r tʃ i t k a n,m}m e}ə n|g}ŋ e}ə r}r c}tʃ i}i t}t k}k a}a n}n
mengerdomkan,m ə ŋ ə r d o m k a n,m}m e}ə n|g}ŋ e}ə r}r d}d o}o m}m k}k a}a n}n
mengerebok,m ə ŋ ə r e b o ʔ,m}m e}ə n|g}ŋ e}ə r}r e}e b}b o}o k}ʔ
mengerecengkan,m ə ŋ ə r e tʃ e ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r e}e c}tʃ e}e n|g}ŋ k}k a}a n}n
mengerek,m ə ŋ e r e ʔ,m}m e}ə n|g}ŋ e}e r}r e}e k}ʔ
mengeremus,m ə ŋ ə r ə m u s,m}m e}ə n|g}ŋ e}ə r}r e}ə m}m u}u s}s
mengerenyot,m ə ŋ ə r e ɲ o t,m}m e}ə n|g}ŋ e}ə r}r e}e n|y}ɲ o}o t}t
mengerepas,m ə ŋ ə r ə p a s,m}m e}ə n|g}ŋ e}ə r}r e}ə p}p a}a s}s
mengerepes,m ə ŋ ə r e p e s,m}m e}ə n|g}ŋ e}ə r}r e}e p}p e}e s}s
mengeret,m ə ŋ e r e t,m}m e}ə n|g}ŋ e}e r}r e}e t}t
mengeri,m ə ŋ ə r i,m}m e}ə n|g}ŋ e}ə r}r i}i
mengeriap,m ə ŋ ə r i a p,m}m e}ə n|g}ŋ e}ə r}r i}i a}a p}p
mengericau,m ə ŋ ə r i tʃ a u,m}m e}ə n|g}ŋ e}ə r}r i}i c}tʃ a}a u}u
mengerih,m ə ŋ ə r i h,m}m e}ə n|g}ŋ e}ə r}r i}i h}h
mengerik,m ə ŋ ə r i ʔ,m}m e}ə n|g}ŋ e}ə r}r i}i k}ʔ
mengerikan,m ə ŋ ə r i k a n,m}m e}ə n|g}ŋ e}ə r}r i}i k}k a}a n}n
mengerikil,m ə ŋ ə r i k i l,m}m e}ə n|g}ŋ e}ə r}r i}i k}k i}i l}l
mengering,m ə ŋ ə r i ŋ,m}m e}ə n|g}ŋ e}ə r}r i}i n|g}ŋ
mengeringatkan,m ə ŋ ə r i ŋ a t k a n,m}m e}ə n|g}ŋ e}ə r}r i}i n|g}ŋ a}a t}t k}k a}a n}n
mengeringkan,m ə ŋ ə r i ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r i}i n|g}ŋ k}k a}a n}n
mengerinjang,m ə ŋ ə r i n dʒ a ŋ,m}m e}ə n|g}ŋ e}ə r}r i}i n}n j}dʒ a}a n|g}ŋ
mengerip,m ə ŋ ə r i p,m}m e}ə n|g}ŋ e}ə r}r i}i p}p
mengeris,m ə ŋ ə r i s,m}m e}ə n|g}ŋ e}ə r}r i}i s}s
mengerisik,m ə ŋ ə r i s i ʔ,m}m e}ə n|g}ŋ e}ə r}r i}i s}s i}i k}ʔ
mengerit,m ə ŋ ə r i t,m}m e}ə n|g}ŋ e}ə r}r i}i t}t
mengeriting,m ə ŋ ə r i t i ŋ,m}m e}ə n|g}ŋ e}ə r}r i}i t}t i}i n|g}ŋ
mengeritingkan,m ə ŋ ə r i t i ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r i}i t}t i}i n|g}ŋ k}k a}a n}n
mengeritkan,m ə ŋ ə r i t k a n,m}m e}ə n|g}ŋ e}ə r}r i}i t}t k}k a}a n}n
mengerjakan,m ə ŋ ə r dʒ a k a n,m}m e}ə n|g}ŋ e}ə r}r j}dʒ a}a k}k a}a n}n
mengerkau,m ə ŋ ə r k a u,m}m e}ə n|g}ŋ e}ə r}r k}k a}a u}u
mengerlap,m ə ŋ ə r l a p,m}m e}ə n|g}ŋ e}ə r}r l}l a}a p}p
mengerling,m ə ŋ ə r l i ŋ,m}m e}ə n|g}ŋ e}ə r}r l}l i}i n|g}ŋ
mengerlip,m ə ŋ ə r l i p,m}m e}ə n|g}ŋ e}ə r}r l}l i}i p}p
mengerna,m ə ŋ ə r n a,m}m e}ə n|g}ŋ e}ə r}r n}n a}a
mengernai,m ə ŋ ə r n a i,m}m e}ə n|g}ŋ e}ə r}r n}n a}a i}i
mengernyih,m ə ŋ ə r ɲ i h,m}m e}ə n|g}ŋ e}ə r}r n|y}ɲ i}i h}h
mengernying,m ə ŋ ə r ɲ i ŋ,m}m e}ə n|g}ŋ e}ə r}r n|y}ɲ i}i n|g}ŋ
mengernyit,m ə ŋ ə r ɲ i t,m}m e}ə n|g}ŋ e}ə r}r n|y}ɲ i}i t}t
mengernyitkan,m ə ŋ ə r ɲ i t k a n,m}m e}ə n|g}ŋ e}ə r}r n|y}ɲ i}i t}t k}k a}a n}n
mengernyut,m ə ŋ ə r ɲ u t,m}m e}ə n|g}ŋ e}ə r}r n|y}ɲ u}u t}t
mengerobek,m ə ŋ ə r o b e ʔ,m}m e}ə n|g}ŋ e}ə r}r o}o b}b e}e k}ʔ
mengerok,m ə ŋ ə r o ʔ,m}m e}ə n|g}ŋ e}ə r}r o}o k}ʔ
mengeroncongkan,m ə ŋ ə r o n tʃ o ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r o}o n}n c}tʃ o}o n|g}ŋ k}k a}a n}n
mengeropeng,m ə ŋ ə r o p e ŋ,m}m e}ə n|g}ŋ e}ə r}r o}o p}p e}e n|g}ŋ
mengerosi,m ə ŋ ə r o s i,m}m e}ə n|g}ŋ e}ə r}r o}o s}s i}i
mengerosong,m ə ŋ ə r o s o ŋ,m}m e}ə n|g}ŋ e}ə r}r o}o s}s o}o n|g}ŋ
mengeroyok,m ə ŋ ə r o j o ʔ,m}m e}ə n|g}ŋ e}ə r}r o}o y}j o}o k}ʔ
mengerpus,m ə ŋ ə r p u s,m}m e}ə n|g}ŋ e}ə r}r p}p u}u s}s
mengersik,m ə ŋ ə r s i ʔ,m}m e}ə n|g}ŋ e}ə r}r s}s i}i k}ʔ
mengertak,m ə ŋ ə r t a ʔ,m}m e}ə n|g}ŋ e}ə r}r t}t a}a k}ʔ
mengertangkan,m ə ŋ ə r t a ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r t}t a}a n|g}ŋ k}k a}a n}n
mengerti,m ə ŋ ə r t i,m}m e}ə n|g}ŋ e}ə r}r t}t i}i
mengerubungi,m ə ŋ ə r u b u ŋ i,m}m e}ə n|g}ŋ e}ə r}r u}u b}b u}u n|g}ŋ i}i
mengerubuti,m ə ŋ ə r u b u t i,m}m e}ə n|g}ŋ e}ə r}r u}u b}b u}u t}t i}i
mengerucut,m ə ŋ ə r u tʃ u t,m}m e}ə n|g}ŋ e}ə r}r u}u c}tʃ u}u t}t
mengerudungi,m ə ŋ ə r u d u ŋ i,m}m e}ə n|g}ŋ e}ə r}r u}u d}d u}u n|g}ŋ i}i
mengeruh,m ə ŋ ə r u h,m}m e}ə n|g}ŋ e}ə r}r u}u h}h
mengeruhkan,m ə ŋ ə r u h k a n,m}m e}ə n|g}ŋ e}ə r}r u}u h}h k}k a}a n}n
mengeruk,m ə ŋ ə r u ʔ,m}m e}ə n|g}ŋ e}ə r}r u}u k}ʔ
mengerukkan,m ə ŋ ə r u ʔ k a n,m}m e}ə n|g}ŋ e}ə r}r u}u k}ʔ k}k a}a n}n
mengerukut,m ə ŋ ə r u k u t,m}m e}ə n|g}ŋ e}ə r}r u}u k}k u}u t}t
mengerukutkan,m ə ŋ ə r u k u t k a n,m}m e}ə n|g}ŋ e}ə r}r u}u k}k u}u t}t k}k a}a n}n
mengerul,m ə ŋ ə r u l,m}m e}ə n|g}ŋ e}ə r}r u}u l}l
mengerumit,m ə ŋ ə r u m i t,m}m e}ə n|g}ŋ e}ə r}r u}u m}m i}i t}t
mengerumuni,m ə ŋ ə r u m u n i,m}m e}ə n|g}ŋ e}ə r}r u}u m}m u}u n}n i}i
mengerumus,m ə ŋ ə r u m u s,m}m e}ə n|g}ŋ e}ə r}r u}u m}m u}u s}s
mengeruntungkan,m ə ŋ ə r u n t u ŋ k a n,m}m e}ə n|g}ŋ e}ə r}r u}u n}n t}t u}u n|g}ŋ k}k a}a n}n
mengerut,m ə ŋ ə r u t,m}m e}ə n|g}ŋ e}ə r}r u}u t}t
mengerutak,m ə ŋ ə r u t a ʔ,m}m e}ə n|g}ŋ e}ə r}r u}u t}t a}a k}ʔ
mengerutkan,m ə ŋ ə r u t k a n,m}m e}ə n|g}ŋ e}ə r}r u}u t}t k}k a}a n}n
mengesah,m ə ŋ ə s a h,m}m e}ə n|g}ŋ e}ə s}s a}a h}h
